PanelType;Cell type;Cell data;Bet ranges;Bet type;Name;Description;Connected cell 1 name;Connected cell 2 name
PreflopSb;StatCell;PreflopData;;;Sb_4bet_Raise;SB raise (4 bet pot);Sb_4bet_Call;
PreflopSb;StatCell;PreflopData;;;Sb_4bet_Vs_Bb_Fold;SB fold (4 bet pot vs BB);Sb_4bet_Vs_Bb_Call;Sb_4bet_Vs_Bb_Raise
PreflopSb;StatCell;PreflopData;;;Sb_4bet_Vs_Bb_Call;SB call (4 bet pot vs BB);Sb_4bet_Vs_Bb_Fold;Sb_4bet_Vs_Bb_Raise
PreflopSb;StatCell;PreflopData;;;Sb_4bet_Vs_Bb_Raise;SB raise (4 bet pot vs BB);Sb_4bet_Vs_Bb_Call;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Check;BB check (limp pot);Bb_Limp_Raise;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Raise;BB raise (limp pot);Bb_Limp_Check;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Ep_Check;BB check (limp pot vs EP);Bb_Limp_Vs_Ep_Raise;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Ep_Raise;BB raise (limp pot vs EP);Bb_Limp_Vs_Ep_Check;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Mp_Check;BB check (limp pot vs MP);Bb_Limp_Vs_Mp_Raise;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Mp_Raise;BB raise (limp pot vs MP);Bb_Limp_Vs_Mp_Check;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Co_Check;BB check (limp pot vs CO);Bb_Limp_Vs_Co_Raise;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Co_Raise;BB raise (limp pot vs CO);Bb_Limp_Vs_Co_Check;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Btn_Check;BB check (limp pot vs BTN);Bb_Limp_Vs_Btn_Raise;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Btn_Raise;BB raise (limp pot vs BTN);Bb_Limp_Vs_Btn_Check;
PreflopBb;StatCell;PreflopData;;;Bb_Limp_Vs_Sb_Check;BB check (limp pot vs SB);Bb_Limp_Vs_Sb_Raise;
