Game type;Round;Position;Relative position;Opponent position;Players on flop;Preflop pot type;Preflop actions;Set type
SixMax;Postflop;Co;Any;Any;Multiway;SqueezePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;RaiseRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;SqueezePot;CallCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;CallRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;RaiseCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;RaiseIsolatePot;CallCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;ThreeBetPot;Call;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;ThreeBetPot;Call;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;Raise;PostflopGeneral
SixMax;Postflop;Co;Oop;Btn;Hu;ThreeBetPot;RaiseCall;PostflopHuOop
SixMax;Postflop;Co;Ip;Sb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Co;Ip;Bb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
SixMax;Postflop;Co;Any;Any;Multiway;ThreeBetPot;RaiseCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FourBetPot;AnyCall;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Hu;FiveBetPot;AnyRaise;PostflopGeneral
SixMax;Postflop;Co;Any;Any;Multiway;FiveBetPot;AnyRaise;PostflopGeneral
Hu;Postflop;Sb;Ip;Bb;Hu;LimpPot;Call;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;RaisePot;Raise;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;IsolatePot;CallCall;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;RaiseIsolatePot;CallRaise;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;ThreeBetPot;RaiseCall;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;FourBetPot;RaiseRaise;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;FourBetPot;AnyCall;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;FiveBetPot;AnyRaise;PostflopHuIp
Hu;Postflop;Sb;Ip;Bb;Hu;FiveBetPot;AnyCall;PostflopHuIp
Hu;Postflop;Bb;Oop;Sb;Hu;LimpPot;Check;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;IsolatePot;Raise;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;RaisePot;Call;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;ThreeBetPot;Raise;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;RaiseIsolatePot;RaiseCall;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;FourBetPot;RaiseRaise;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;FourBetPot;AnyCall;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;FiveBetPot;AnyRaise;PostflopHuOop
Hu;Postflop;Bb;Oop;Sb;Hu;FiveBetPot;AnyCall;PostflopHuOop
